,source_sentence,human,time,location,label,augmentation
1303,"Afterwards, he resumed practicing law in East Bridgewater, Massachusetts, and was judge of probate for Plymouth County, Massachusetts, from 1887 to 1906.",he,1887 to 1906,Massachusetts,position held,"Subsequently, he resumed practicing law in East Bridgewater, Massachusetts, and served as judge of probate for Plymouth County, Massachusetts, from 1887 to 1906."
1304,"In 1869 he went to Munich and received his formal training with Hermann Dyck, Hermann Anschütz and Johann Georg Hiltensperger at the Academy of Munich.",Johann Georg Hiltensperger,1869,Academy of Munich,education,"In 1869 he traveled to Munich and received his formal training with Hermann Dyck, Hermann Anschütz and Johann Georg Hiltensperger at the Academy of Munich."
1305,"Rasputin visited him also, when Shelley was camping at Lake Ladoga in 1916.In December of the same year",Rasputin,December of the same year,Lake Ladoga,meet,"Rasputin also visited him, when Shelley was camping at Lake Ladoga in 1916. In December of the same year"
1306,"He has lived in Clive since 1997, and is a member of the Lions Club and Historical Society there.",He,1997,Clive,settlement,"He has been residing in Clive since 1997, and is a member of the Lions Club and Historical Society there."
1307,"According to her birth certificate, Clare Emma Whitty was born on 30 May 1883 in Fenloe, County Clare, Ireland.",Clare Emma Whitty,30 May 1883,Fenloe,birth,"According to her birth certificate, Clare Emma Whitty came into the world on 30 May 1883 in Fenloe, County Clare, Ireland."
1308,"After the death of Ivan Vladislav in February 1018, Bulgarian resistance to the Byzantine emperor Basil II () collapsed, and Presian with two of brothers, Alusian and Aaron, fled to Mount Tmoros in Tomornitsa.",Presian,February 1018,Tomornitsa,go to,"After the death of Ivan Vladislav in February 1018, Bulgarian resistance to the Byzantine emperor Basil II () collapsed, and Presian with two of brothers, Alusian and Aaron, fled to Mount Tmoros in Tomornitsa."
1309,He attended Appleton West High School and graduated in 1983.,He,1983,Appleton West High School,education,He was a student at Appleton West High School and completed his studies in 1983.
1310,Lopez moved to Georgia in 2007.,Lopez,2007,Georgia,go to,"In 2007, Lopez relocated to Georgia."
1311,"In 2007, Ivy became the wide receivers coach at Boca Raton Community High School.",Ivy,2007,Boca Raton Community High School,start position,Ivy took on the role of wide receivers coach at Boca Raton Community High School in 2007.
1312,Hans Benno Bernoulli died aged 83 in Basel.,Hans Benno Bernoulli,83,Basel,die,Hans Benno Bernoulli passed away at the age of 83 in Basel.
1313,In 1992 he made his debut as a conductor with his composition Morphogenesis in a performance with the New Symphony Orchestra in Tokyo.,he,1992,Tokyo,performance,His debut as a conductor with his composition Morphogenesis took place in 1992 during a performance with the New Symphony Orchestra in Tokyo.
1314,She wrote over 100 publications and she received numerous honours including a Gold Medal from the University of Barcelona in 2011 and emeritus professorship at the Universidad Complutense.,She,2011,University of Barcelona,ceremony,Over 100 publications were written by her and she was honored with a Gold Medal from the University of Barcelona in 2011 and emeritus professorship at the Universidad Complutense.
1315,"Johnston received his Ph.D. in philosophy from Princeton University in 1984 after completing a doctoral dissertation, titled ""Particulars and persistence"", under the supervision of Saul Kripke and David Lewis.",Johnston,1984,Princeton University,education,"In 1984, Johnston earned his Ph.D. in philosophy from Princeton University after completing a doctoral dissertation, titled ""Particulars and persistence"", under the supervision of Saul Kripke and David Lewis."
1316,"David Pafford Crews was born April 18, 1947, in Jacksonville, Florida.",David Pafford Crews,"April 18, 1947",Jacksonville,birth,"David Pafford Crews was born in Jacksonville, Florida on April 18, 1947."
1317,"Brown was born in 1939 in Crestline, Ohio.",Brown,1939,Crestline,birth,"Born in 1939, Brown originated from Crestline, Ohio."
1318,Aboushi received her Bachelor in Science degree in Legal Studies from St. Johns University and received her Juris Doctor degree in 2009 from Syracuse University College of Law.,Aboushi,2009,St. Johns University,education,Aboushi obtained her Bachelor in Science degree in Legal Studies from St. Johns University and her Juris Doctor degree in 2009 from Syracuse University College of Law.
1319,"Carmon began his academic career at the Duke University in 1993 as assistant professor at the Fuqua School of Business, where in 1997 he became associate professor.",he,1993,Duke University,start position,"Carmon started his academic career at the Duke University in 1993 as assistant professor at the Fuqua School of Business, where in 1997 he was promoted to associate professor."
1320,"Vladas Jurgutis (17 November 1885 in Joskaudai near Palanga – 9 January 1966 in Vilnius) was a Lithuanian priest, economist, and professor.",Vladas Jurgutis,17 November 1885,Joskaudai,birth,"Vladas Jurgutis (17 November 1885 in Joskaudai near Palanga – 9 January 1966 in Vilnius) was a Lithuanian priest, economist, and professor."
1321,"She died in Pascagoula in 1986, aged 57 years.",She,57 years,Pascagoula,die,"She passed away in Pascagoula in 1986, at the age of 57."
1322,Tahi was born on 24 July 1944 in the small town of Losingoiburie on Aoba Island.,Tahi,24 July 1944,Losingoiburie,birth,Tahi was born on 24 July 1944 in the small town of Losingoiburie on Aoba Island.
1323,"Noble was born in Lynwood, California, in 1960.",Noble,1960,Lynwood,birth,"Noble was born in Lynwood, California, in 1960."
1324,"Between 1974 and 1977 Jocky was one of the most dominant fighter on the Bangkok circuit defeating other champions such as Samersing Tianhiran, Khunponnoi Kiatsuriya, Nongkhai Sor.Prapatsorn, Pudpadnoi Worawut Sagat Petchyindee or Padejsuk Pitsanurachan.",Jocky,Between 1974 and 1977,Bangkok,competition,"Between 1974 and 1977 Jocky was one of the most dominant fighter on the Bangkok circuit defeating other champions such as Samersing Tianhiran, Khunponnoi Kiatsuriya, Nongkhai Sor.Prapatsorn, Pudpadnoi Worawut Sagat Petchyindee or Padejsuk Pitsanurachan."
1325,He graduated from the École Centrale Paris in 1923 and was active until his death in 1955.,He,1923,École Centrale Paris,education,He completed his studies at the École Centrale Paris in 1923 and remained active until his death in 1955.
1326,She moved to the US in 1999.,She,1999,US,go to,She relocated to the US in 1999.
1327,Chabert began his political career in 1965 as Alderman in Meise.,Chabert,1965,Meise,start position,Chabert began his political career in 1965 as Alderman in Meise.
1328,"Nduka-Eze was born to Sylvester Nduka-Eze, of Umuaji, Asaba (more commonly known as Nduka Eze) in London, on March 12, 1963.",Sylvester Nduka-Eze,"March 12, 1963",Umuaji,birth,"Nduka-Eze was born to Sylvester Nduka-Eze, of Umuaji, Asaba (more commonly known as Nduka Eze) in London, on March 12, 1963."
1329,"He was educated at the Collegium Pázmáneum in Vienna and the University of Vienna, where he earned a doctorate in theology on 2 June 1876.In spite of his Slovak ethnic origin and family  relations to several Slovak national activists his attitude to the Slovak national movement was ambivalent.",he,2 June 1876.In,Vienna,education,"He was educated at the Collegium Pázmáneum in Vienna and the University of Vienna, where he earned a doctorate in theology on 2 June 1876.In spite of his Slovak ethnic origin and family  relations to several Slovak national activists his attitude to the Slovak national movement was ambivalent."
1330,"Macrides died suddenly in Dundee, Scotland, on 27 April 2019, as a result of a brain hemorrhage.",Macrides,27 April 2019,Dundee,die,"Macrides passed away unexpectedly in Dundee, Scotland, on 27 April 2019, due to a brain hemorrhage."
1331,"In 1161 Chesney became embroiled in a dispute with St Albans Abbey, resulting from his efforts to enforce his right, as bishop, to supervise religious houses within his diocese.",Chesney,1161,St Albans Abbey,position held,"In 1161 Chesney became involved in a dispute with St Albans Abbey, stemming from his efforts to assert his right, as bishop, to oversee religious houses within his diocese."
1332,"For the 2016 season, Katoh returned to Charleston and batted .229/.320/.335 with 1 home run in 65 games.",Katoh,the 2016 season,Charleston,competition,"For the 2016 season, Katoh came back to Charleston and had a batting average of .229/.320/.335 with 1 home run in 65 games."
1333,"In the Winter of 1966, in a pub of Nancy, Matheron, Philippe Formery, and Serra decided to give a name to this body of works: ""Mathematical morphology"".",Matheron,the Winter of 1966,Nancy,meet,"In the Winter of 1966, in a pub of Nancy, Matheron, Philippe Formery, and Serra made the decision to give a name to this body of works: ""Mathematical morphology""."
1334,"In December 1903 in Petaluma, California, Rikert files for divorce from Kline on the grounds that she had deserted him.",Rikert,December 1903,Petaluma,divorce,"In December 1903 in Petaluma, California, Rikert filed for divorce from Kline on the grounds that she had deserted him."
1335,She died in Geneva in 2005.,She,2005,Geneva,die,She passed away in Geneva in 2005.
1336,"He returned to Ireland in 1913 for further schooling, attending Trinity College, Dublin as an engineering student.",He,1913,Ireland,education,"He went back to Ireland in 1913 for further schooling, attending Trinity College, Dublin as an engineering student."
1337,Sir Conrad Marshall John Fisher Swan KCVO FSA  (13 May 1924–10 January 2019) was a long-serving officer of arms at the College of Arms in London.,Conrad Marshall John Fisher Swan,January 2019,London,military service,Sir Conrad Marshall John Fisher Swan KCVO FSA  (13 May 1924–10 January 2019) was a long-serving officer of arms at the College of Arms in London.
1338,"On February 19, 2008, Carter and Cortez Bryant revisited their alma mater McMain Secondary School to get students to design an invitation to the gala introducing Carter""s nonprofit One Family Foundation.",Carter,"February 19, 2008",McMain Secondary School,go to,"On February 19, 2008, Carter and Cortez Bryant returned to their alma mater McMain Secondary School to have students design an invitation to the gala introducing Carter""s nonprofit One Family Foundation."
